word,true_stem,stem
ꯄꯟꯂꯣꯟ,ꯄꯟ
ꯂꯩꯕꯥꯛꯇꯥ,ꯂꯩ
ꯀꯌꯥꯒꯤ,ꯀ
ꯃꯆꯤꯟ,ꯆꯤꯟ
ꯃꯅꯥꯎ,ꯅꯥꯎ
ꯑꯌꯥꯝꯕꯥ,ꯌꯥꯝ
ꯅꯨꯄꯥꯒꯤ,ꯅꯨ
ꯃꯔꯝꯗꯥ,ꯔꯝ
ꯊꯣꯏꯗꯣꯛꯄꯥ,ꯊꯣꯏ
ꯄꯥꯡꯈꯤꯕꯥ,ꯄꯥꯡ
ꯂꯩꯈꯤ,ꯂꯩ
ꯃꯔꯥꯡ,ꯔꯥꯡ
ꯏꯆꯜꯁꯤꯡꯁꯨ,ꯆꯜ
ꯃꯈꯣꯏꯅꯥ,ꯈꯣꯏ
ꯈꯨꯅꯥꯢꯒꯤ,ꯈꯨ
ꯄꯥꯡꯕꯥ,ꯄꯥꯡ
ꯂꯩꯔꯛꯏ,ꯂꯩ
ꯑꯗꯨꯅꯥ,ꯗꯨ
ꯃꯩꯔꯥꯒꯤ,ꯃꯩ
ꯆꯥꯎꯕꯒꯦ,ꯆꯥꯎ
ꯍꯥꯢꯕꯗꯨ,ꯍꯥꯢ
ꯍꯣꯠꯅꯕꯥ,ꯍꯣꯠ
ꯃꯔꯨ,ꯔꯨ
ꯑꯣꯏ,ꯑꯣꯏ
ꯄꯜꯂꯕꯗꯥ,ꯄꯜ
ꯀꯥꯅꯕꯗꯥ,ꯀꯥ
ꯄꯥꯝꯕꯤꯁꯤꯡꯅꯥ,ꯄꯥꯝ
ꯉꯥꯏ,ꯉꯥꯏ
ꯀꯥꯟꯅꯕ,ꯀꯥꯟ
ꯂꯣꯏ,ꯂꯣꯏ
ꯂꯧꯀꯣꯜ,ꯂꯧ
ꯂꯧꯊꯣꯛꯄꯥ,ꯂꯧ
ꯏꯊꯣꯛꯄꯥ,ꯊꯣꯛ
ꯅꯨꯡ,ꯅꯨꯡ
ꯂꯣꯟ,ꯂꯣꯟ
ꯀꯆꯤꯟ,ꯀ
ꯌꯥꯝꯂꯕ,ꯌꯥꯝ
ꯀꯥꯟꯊꯣꯛꯇꯅ,ꯀꯥꯟ
ꯇꯧꯔꯤꯕꯥ,ꯇꯧ
ꯑꯩꯒꯤ,ꯑꯩ
ꯇꯣꯉꯥꯟꯕꯅꯤ,ꯇꯣ
ꯑꯩꯅꯥ,ꯑꯩ
ꯊꯦꯡꯅꯔꯛꯄꯗ,ꯊꯦꯡ
ꯂꯧꯁꯤꯡꯅꯕ,ꯂꯧ
ꯀꯩꯗꯧꯉꯩꯗꯁꯨ,ꯀꯩ
ꯑꯋꯥꯕ,ꯋꯥ
ꯑꯃꯥꯅꯤ,ꯃꯥ
ꯈꯟꯗꯦ,ꯈꯟ
ꯇꯦꯡꯕꯥ,ꯇꯦꯡ
ꯏꯔꯣꯠ,ꯔꯣꯠ
ꯂꯧꯄꯨꯝ,ꯂꯧ
ꯇꯧꯔꯛꯄꯗꯥ,ꯇꯧ
ꯀꯥꯟꯊꯣꯛꯇꯕ,ꯀꯥꯟ
ꯌꯥꯝꯅꯕ,ꯌꯥꯝ
ꯅꯦꯝꯕꯅꯥ,ꯅꯦꯝ
ꯈꯣꯡꯅꯦ,ꯈꯣꯡ
ꯌꯦꯡꯕ,ꯌꯦꯡ
ꯌꯥꯝ,ꯌꯥꯝ
ꯈꯪꯕ,ꯈꯪ
ꯌꯦꯟꯕꯁꯤꯡ,ꯌꯦꯟ
ꯂꯧꯕ,ꯂꯧ
ꯉꯝꯗꯦ,ꯉꯝ
ꯄꯨꯝꯅꯃꯛꯁꯤꯡꯁꯨ,ꯄꯨꯝ
ꯂꯧꯊꯣꯛ,ꯂꯧ
ꯂꯨꯝꯅꯕ,ꯂꯨꯝ
ꯁꯦꯡꯂꯕ,ꯁꯦꯡ
ꯊꯧꯅꯥꯁꯤꯡꯗ,ꯊꯧ
ꯑꯃꯥꯗꯒꯤ,ꯃꯥ
ꯂꯧꯁꯤꯡꯗꯤ,ꯂꯧ
ꯂꯧꯅꯤꯡꯕ,ꯂꯧ
ꯇꯧꯕꯁꯤꯡꯒꯤ,ꯇꯧ
ꯅꯥꯠꯇꯅꯤ,ꯅꯥꯠ
ꯀꯔꯤ,ꯀ
ꯉꯥꯏꯕ,ꯉꯥꯏ
ꯂꯧꯅꯤꯡꯕꯥ,ꯂꯧ
ꯀꯥꯡꯖꯩ,ꯀꯥꯡ
ꯀꯥꯡꯖꯩꯒꯤ,ꯀꯥꯡ
ꯑꯗꯨꯒꯨꯝꯕ,ꯗꯨ
ꯂꯧꯕꯧꯒꯤ,ꯂꯧ
ꯂꯩꯔꯛꯄꯥ,ꯂꯩ
ꯂꯧꯊꯣꯛꯄꯥ,ꯂꯧ
ꯂꯧꯄꯨꯝꯅ,ꯂꯧ
ꯑꯄꯥꯝꯕꯥ,ꯄꯥꯝ
ꯄꯨꯝꯅꯃꯛꯇꯥ,ꯄꯨꯝ
ꯀꯥꯎꯊꯣꯛꯂꯣꯏꯗꯕꯥ,ꯀꯥꯎ
ꯃꯤꯇꯩꯒꯤ,ꯃꯤ
ꯄꯨꯋꯥꯔꯤꯗꯥ,ꯄꯨ
ꯇꯦꯡꯕꯥꯡꯅꯕꯥ,ꯇꯦꯡ
ꯑꯃꯒꯤ,ꯃ
ꯃꯁꯥꯕꯨ,ꯁꯥ
ꯀꯠꯊꯣꯛꯂꯤ,ꯀꯠ
ꯃꯁꯤꯗꯒꯤ,ꯁꯤ
ꯍꯧꯔꯒꯥ,ꯍꯧ
ꯋꯥꯔꯤꯗꯥ,ꯋꯥ
ꯊꯦꯡꯅꯕꯥ,ꯊꯦꯡ
ꯑꯁꯤ,ꯑ
ꯑꯔꯣꯏꯕꯥ,ꯔꯣꯏ
ꯇꯥꯡꯀꯛ,ꯇꯥꯡ
ꯂꯥꯛꯀꯅꯤ,ꯂꯥꯛ
ꯋꯥꯐꯝ,ꯋꯥ
ꯈ꯭ꯏꯗꯒꯤ,ꯈ꯭ꯏ
ꯄꯣꯠꯂꯝ,ꯄꯣꯠ
ꯈꯣꯡ,ꯈꯣꯡ
ꯀꯔꯝꯅꯥ,ꯀ
ꯅꯤꯡꯊꯤꯕꯥ,ꯅꯤꯡ
ꯃꯋꯣꯡꯗꯥ,ꯋꯣꯡ
ꯁꯦꯝꯕꯥ,ꯁꯦꯝ
ꯄꯨꯡꯒꯤ,ꯄꯨꯡ
ꯋꯥꯔꯤꯄꯨꯡꯒꯤ,ꯋꯥ
ꯃꯔꯨꯑꯣꯢꯕꯥ,ꯔꯨ
ꯁꯦꯝꯒꯠ,ꯁꯦꯝ
ꯁꯥꯒꯠꯄꯥ,ꯁꯥ
ꯃꯋꯣꯡ,ꯋꯣꯡ
ꯀꯥꯡꯂꯨꯞꯀꯤ,ꯀꯥꯡ
ꯑꯁꯦꯡꯕꯥ,ꯁꯦꯡ
ꯃꯄꯣꯛ,ꯄꯣꯛ
ꯈꯣꯡꯊꯥꯡ,ꯈꯣꯡ
ꯁꯔꯨꯛꯁꯤꯡꯗꯤ,ꯁ
ꯃꯀꯣꯛ,ꯀꯣꯛ
ꯃꯌꯥꯏ,ꯌꯥꯏ
ꯃꯄꯥꯟꯊꯣꯡ,ꯄꯥꯟ
ꯄꯨꯡ,ꯄꯨꯡ
ꯁꯦꯝꯒꯠꯄꯥ,ꯁꯦꯝ
ꯁꯤꯖꯤꯟꯅꯕꯥ,ꯁꯤ
ꯂꯩꯇꯅꯥ,ꯂꯩ,
ꯆꯠꯅꯕꯤꯗꯥ,ꯆꯠ
ꯆꯠꯅꯕꯤ,ꯆꯠ
ꯍꯔꯥꯎ,ꯍ
ꯀꯨꯝꯍꯩ,ꯀꯨꯝ
ꯊꯧꯔꯝꯁꯤꯡꯗꯥ,ꯊꯧ
ꯆꯠꯂꯤ,ꯆꯠ
ꯁꯥꯒꯤ,ꯁꯥ
ꯑꯄꯨꯟꯕꯥ,ꯄꯨꯟ
ꯐꯥꯍꯜꯂꯤ,ꯐꯥ,
ꯂꯧꯔꯤ,ꯂꯧ
ꯄꯥꯎꯇꯥꯛ,ꯄꯥꯎ
ꯁꯛꯊꯤꯕꯥꯒꯤ,ꯁꯛ
ꯁꯥꯟꯅꯕꯥ,ꯁꯥꯟ
ꯃꯅꯥ,ꯅꯥ
ꯁꯦꯝꯒꯠꯂꯕ,ꯁꯦꯝ
ꯄꯣꯠꯂꯝꯁꯤꯡꯁꯤ,ꯄꯣꯠ
ꯃꯌꯥꯝꯅꯥ,ꯌꯥꯝ
ꯄꯥꯝꯅꯩ,ꯄꯥꯝ
ꯑꯩꯈꯣꯢꯕꯨ,ꯑꯩ
ꯄꯤꯒꯅꯤ,ꯄꯤ
ꯃꯑꯣꯡ,ꯑꯣꯡ
ꯃꯇꯧꯗꯥ,ꯇꯧ
ꯁꯛꯊꯤꯕꯥ,ꯁꯛ
ꯃꯁꯥꯅꯤ,ꯁꯥ
ꯍꯥꯎꯔꯕꯥ,ꯍꯥꯎ
ꯋꯥꯔꯤꯁꯤꯡ,ꯋꯥ
ꯀꯨꯏꯅꯥ,ꯀꯨꯏ
ꯂꯩꯔꯛꯂꯕꯥ,ꯂꯩ
ꯄꯥꯝꯅꯕꯥ,ꯄꯥꯝ
ꯄꯨꯝꯅꯃꯛꯅꯥ,ꯄꯨꯝ
ꯑꯣꯡꯒꯅꯤ,ꯑꯣꯡ
ꯂꯝꯕꯤꯁꯤꯡꯗꯥ,ꯂꯝ
ꯑꯁꯪꯕꯥ,ꯁꯪ
ꯌꯦꯡꯕꯗꯥ,ꯌꯦꯡ
ꯃꯁꯤꯕꯨ,ꯁꯤ
ꯌꯦꯡꯕꯥ,ꯌꯦꯡ
ꯄꯥꯝꯒꯅꯤ,ꯄꯥꯝ
ꯃꯑꯣꯡꯅꯤ,ꯑꯣꯡ
ꯄꯦꯅꯥ,ꯄꯦ
ꯈꯨꯠ,ꯈꯨꯠ
ꯆꯦ,ꯆꯦ
ꯄꯣꯠꯂꯝꯅꯤ,ꯄꯣꯠ
ꯀꯨꯝꯍꯩ,ꯀꯨꯝ
ꯂꯥꯢꯔꯣꯢ,ꯂꯥꯏ
ꯄꯨꯊꯣꯛꯄꯗꯥ,ꯄꯨ
ꯄꯥꯡꯕꯥ,ꯄꯥꯡ
ꯄꯨꯊꯣꯛꯂꯤꯕꯥ,ꯄꯨ
ꯄꯦꯅꯥꯒꯤ,ꯄꯦ
ꯑꯔꯤꯕꯥ,ꯔꯤ
ꯑꯁꯥꯅꯕꯥ,ꯁꯥ
ꯊꯥꯡꯁꯤꯡꯗꯥ,ꯊꯥꯡ
ꯏꯁꯩꯃꯌꯦꯛ,ꯁꯩ
ꯈꯔꯥ,ꯈ
ꯄꯥꯎꯅꯥ,ꯄꯥꯎ
ꯁꯩꯊꯕ,ꯁꯩ
ꯇꯝꯅꯕꯒꯤꯗꯃꯛ,ꯇꯝ
ꯍꯦꯟꯅꯕꯒꯤ,ꯍꯦꯟ
ꯌꯦꯠꯅꯕꯥ,ꯌꯦꯠ
ꯂꯝꯊꯣꯛꯄꯥ,ꯂꯝ
ꯌꯦꯅꯤꯡꯊ,ꯌꯦ
ꯄꯥꯎꯅꯥꯕꯨ,ꯄꯥꯎ
ꯊꯥꯎꯔꯥꯡꯗꯥ,ꯊꯥꯎ
ꯊꯥꯡꯒꯤ,ꯊꯥꯡ
ꯀꯨꯝꯖꯥꯒꯤ,ꯀꯨꯝ
ꯆꯠꯄꯥꯒꯤ,ꯆꯠ
ꯈꯨꯗꯣꯜꯅꯥ,ꯈꯨ
ꯈꯪꯕꯗꯒꯤ,ꯈꯪ
ꯏꯔꯩꯃ,ꯔꯩ
ꯏꯅꯥꯎꯕꯥ,ꯅꯥꯎ
ꯇꯥꯔꯥ,ꯇꯥ
ꯈꯣꯡꯅꯥ,ꯈꯣꯡ
ꯀꯨꯝꯖꯥꯒꯤꯗꯃꯛ,ꯀꯨꯝ
ꯏꯄꯥꯗꯥ,ꯄꯥ
ꯄꯦꯅꯥꯁꯤꯕꯨ,ꯄꯦ
ꯏꯁꯩꯗꯥ,ꯁꯩ
ꯉꯥꯛꯇꯅꯤ,ꯉꯥꯛ
ꯄꯥꯎꯇꯥꯛꯅꯤ,ꯄꯥꯎ
ꯈꯨꯅꯥꯢꯁꯤꯡꯗꯥ,ꯈꯨꯠ
ꯂꯨꯒꯥ,ꯂꯨ
ꯅꯥꯎꯌꯣꯛꯄꯥ,ꯅꯥꯎ
ꯑꯌꯣꯛ,ꯌꯣꯛ
ꯑꯁꯦꯡꯅꯥ,ꯁꯦꯡ
ꯇꯥꯟꯊꯣꯛꯅꯕꯥ,ꯇꯥꯟ
ꯑꯌꯦꯝꯕꯥ,ꯌꯦꯝ
ꯀꯣꯝꯅꯥ,ꯀꯣꯝ
ꯅꯥꯎꯅꯥ,ꯅꯥꯎ
ꯀꯣꯝꯅꯕꯥ,ꯀꯣꯝ
ꯈꯨꯠꯁꯥꯗꯥ,ꯈꯨꯠ
ꯃꯇꯝꯄꯨꯝꯕꯥ,ꯇꯝ
ꯇꯝꯅꯕꯥꯗꯥ,ꯇꯝ
ꯃꯁꯥꯗꯥ,ꯁꯥ
ꯇꯝꯅꯕꯒꯤ,ꯇꯝ
ꯈꯪꯗꯕꯥ,ꯈꯪ
ꯑꯄꯨꯅꯕꯥꯁꯤꯡꯗꯥ,ꯄꯨ
ꯊꯥꯎꯔꯥꯡ,ꯊꯥꯎ
ꯈꯟꯅꯕꯒꯤꯗꯃꯛ,ꯈꯟ
ꯃꯤꯑꯣꯢꯕꯒꯤ,ꯃꯤ
ꯄꯨꯟꯁꯤꯗꯥ,ꯄꯨꯟ
ꯏꯁꯤꯡꯒꯤ,ꯏ
ꯃꯊꯧ,ꯊꯧ
ꯇꯥꯕꯥ,ꯇꯥ
ꯍꯥꯏꯕꯁꯤꯗꯤ,ꯍꯥꯏ
ꯃꯥꯡꯗꯥ,ꯃꯥꯡ
ꯈꯪꯅꯔꯕꯥ,ꯈꯪ
ꯋꯥꯐꯝꯅꯤ,ꯋꯥ
ꯑꯩꯈꯣꯢꯅꯥ,ꯑꯩ
ꯅꯣꯡꯃꯗꯥ,ꯅꯣꯡ
ꯆꯥꯔꯤꯕꯥ,ꯆꯥ
ꯆꯤꯟꯖꯥꯛꯁꯤꯡꯗꯒꯤꯁꯨ,ꯆꯤꯟ
ꯏꯁꯤꯡ,ꯏ
ꯐꯪꯏ,ꯐꯪ
ꯑꯗꯨꯒꯥ,ꯗꯨ
ꯊꯛꯇꯅꯥ,ꯊꯛ
ꯃꯤꯑꯣꯢꯕꯅꯥ,ꯃꯤ
ꯄꯨꯟꯁꯤ,ꯄꯨꯟ
ꯍꯤꯡꯕꯌꯥꯗꯦ,ꯍꯤꯡ
ꯍꯤꯡꯗꯕꯌꯥꯗꯦ,ꯍꯤꯡ
ꯍꯥꯏꯕꯁꯤꯁꯨ,ꯍꯥꯏ
ꯑꯆꯨꯝꯕꯅꯤ,ꯆꯨꯝ
ꯊꯛꯅꯕꯥ,ꯊꯛ
ꯏꯁꯤꯡꯗꯨ,ꯏ
ꯇꯧꯔꯒꯥ,ꯇꯧ
ꯌꯦꯡꯂꯕꯗꯤ,ꯌꯦꯡ
ꯑꯗꯨꯒꯤ,ꯗꯨ
ꯃꯅꯨꯡꯗꯥ,ꯅꯨꯡ
ꯑꯃꯁꯨꯡ,ꯑ
ꯍꯥꯏꯕꯥ,ꯍꯥꯏ
ꯑꯅꯤꯅꯥ,ꯅꯤ
ꯌꯥꯅꯕꯥ,ꯌꯥ
ꯑꯗꯨ,ꯗꯨ
ꯁꯦꯝꯃꯤ,ꯁꯦꯝ
ꯈꯪꯒꯅꯤ,ꯈꯪ
ꯑꯁꯨꯝꯅꯥ,ꯁꯨꯝ
ꯑꯁꯤꯕꯨ,ꯁꯤ
ꯃꯇꯨꯡ,ꯇꯨꯡ
