word,true_stem,stem
ꯂꯩꯕꯥꯛꯁꯤꯗꯥ,ꯂꯩ,ꯂꯩ
ꯄꯣꯛꯈꯤꯕꯅꯤ,ꯄꯣꯛ,ꯄꯣꯛ
ꯃꯍꯥꯛ,ꯍꯥꯛ,ꯍꯥꯛ
ꯂꯥꯏꯐꯝꯒꯤ,ꯂꯥꯏ,ꯂꯥꯏ
ꯑꯍꯥꯟꯕꯥ,ꯍꯥꯟ,ꯍꯥꯟ
ꯃꯃꯥ,ꯃꯥ,ꯃꯥ
ꯃꯄꯥꯅꯥ,ꯄꯥ,ꯄꯥ
ꯅꯤꯡꯁꯤꯡꯒꯗꯕꯥ,ꯅꯤꯡ,ꯅꯤꯡ
ꯊꯧꯗꯥꯡ,ꯊꯧ,ꯊꯧ
ꯂꯧꯔꯝꯈꯤ,ꯂꯧ,ꯂꯧ
ꯄꯨꯝꯅꯃꯛꯁꯨ,ꯄꯨꯝ,ꯄꯨꯝ
ꯃꯍꯩ,ꯍꯩ,ꯍꯩ
ꯃꯁꯤꯡ,ꯁꯤꯡ,ꯁꯤꯡ
ꯈꯪꯂꯛꯄꯥ,ꯈꯪ,ꯈꯪ
ꯂꯩꯔꯝꯂꯕꯥ,ꯂꯩ,ꯂꯩ
ꯃꯍꯥꯛꯀꯤ,ꯍꯥꯛ,ꯍꯥꯛ
ꯃꯊꯧꯗꯒꯤ,ꯊꯧ,ꯊꯧ
ꯑꯃꯨꯛꯇꯥ,ꯃꯨꯛ,ꯃꯨꯛ
ꯂꯩꯔꯤꯕꯅꯤ,ꯂꯩ,ꯂꯩ
ꯑꯣꯖꯥꯁꯤꯡ,ꯑꯣ,ꯑꯣ
ꯂꯝꯗꯝꯁꯤꯒꯤ,ꯂꯝ,ꯂꯝ
ꯃꯌꯥꯝ,ꯌꯥꯝ,ꯌꯥꯝ
ꯑꯃ,ꯃ,ꯃ
ꯂꯩꯈꯤꯕꯅꯤ,ꯂꯩ,ꯂꯩ
ꯃꯍꯩꯒꯤ,ꯍꯩ,ꯍꯩ
ꯑꯣꯏꯕꯒꯨꯝꯅꯥ,ꯑꯣꯏ,ꯑꯣꯏ
ꯈꯨꯗꯝ,ꯈꯨ,ꯈꯨ
ꯃꯤꯊꯧ,ꯃꯤ,ꯃꯤꯊꯧ
ꯊꯕꯛꯁꯤꯡ,ꯊ,ꯊ
ꯂꯩꯕꯒꯨꯝꯅꯥ,ꯂꯩ,ꯂꯩ
ꯃꯍꯥꯛꯄꯨ,ꯍꯥꯛ,ꯍꯥꯛ
ꯎꯠꯆꯔꯤ,ꯎꯠ,ꯎꯠ
ꯂꯥꯏꯔꯤꯛꯀꯤ,ꯂꯥꯏ,ꯂꯥꯏ
ꯏꯕꯥ,ꯕꯥ,ꯕꯥ
ꯀꯔꯤꯒꯨꯝꯕꯥ,ꯀ,ꯀ
ꯊꯧꯅꯥ,ꯊꯧ,ꯊꯧ
ꯐꯅꯥ,ꯐ,ꯐ
ꯊꯥꯖꯕ,ꯊꯥ,ꯊꯥꯖ
ꯑꯣꯏꯒꯗꯕꯅꯤ,ꯑꯣꯏ,ꯑꯣꯏ
ꯁꯤꯡ,ꯁꯤꯡ,ꯁꯤꯡ
ꯊꯧꯒꯜꯗꯥ,ꯊꯧ,ꯊꯧ
ꯆꯪꯊꯣꯛꯇꯨꯅꯥ,ꯆꯪ,ꯆꯪ
ꯁꯦꯕꯥ,ꯁꯦ,ꯁꯦ
ꯅꯨꯃꯤꯠ,ꯅꯨ,ꯅꯨ
ꯉꯝꯂꯣꯏ,ꯉꯝ,ꯉꯝ
ꯊꯕꯛꯅꯥ,ꯊ,ꯊ
ꯇꯝꯕꯥ,ꯇꯝ,ꯇꯝ
ꯌꯥꯕꯥ,ꯌꯥ,ꯌꯥ
ꯂꯣꯏꯁꯤꯟꯕꯥ,ꯂꯣꯏ,ꯂꯣꯏ
ꯈꯜꯂꯤ,ꯈꯜ,ꯈꯜ
ꯈꯨꯗꯝꯗꯥ,ꯈꯨ,ꯈꯨ
ꯊꯕꯛ,ꯊ,ꯊ
ꯋꯥꯈꯜꯅꯥ,ꯋꯥ,ꯋꯥ
ꯆꯠꯃꯤꯟꯅꯒꯅꯤ,ꯆꯠ,ꯆꯠ
ꯇꯥꯔꯕꯗꯤ,ꯇꯥ,ꯇꯥ
ꯂꯥꯏ,ꯂꯥꯏ,ꯂꯥꯏ
ꯊꯤꯕꯗꯥ,ꯊꯤ,ꯊꯤ
ꯀꯠꯊꯣꯛꯀꯅꯤ,ꯀꯠ,ꯀꯠ
ꯄꯨꯝꯅꯃꯛꯀꯤ,ꯄꯨꯝ,ꯄꯨꯝ
ꯀꯥꯟꯅꯕꯥ,ꯀꯥꯟ,ꯀꯥꯟ
ꯎꯕꯥ,ꯎ,ꯕꯥ
ꯐꯪꯂꯕꯗꯤ,ꯐꯪ,ꯐꯪ
ꯂꯝꯕꯤ,ꯂꯝ,ꯂꯝ
ꯑꯉꯥꯡꯁꯤꯡꯒꯤ,ꯉꯥꯡ,ꯉꯥꯡ
ꯄꯥꯡꯕꯗꯥ,ꯄꯥꯡ,ꯄꯥꯡ
ꯈꯨꯅꯥꯢ,ꯈꯨꯟ,ꯈꯨ
ꯑꯆꯧꯕꯥ,ꯆꯧ,ꯆꯧ
ꯂꯧꯒꯅꯤ,ꯂꯧ,ꯂꯧ
ꯈꯨꯗꯣꯡꯆꯥꯕꯥ,ꯈꯨ,ꯈꯨ
ꯊꯤꯕꯥ,ꯊꯤ,ꯊꯤ
ꯇꯧꯕꯗꯥ,ꯇꯧ,ꯇꯧ
ꯊꯕꯛꯁꯤꯡꯗꯥ,ꯊ,ꯊ
ꯑꯣꯏꯔꯛꯈꯤ,ꯑꯣꯏ,ꯑꯣꯏ
ꯂꯩꯉꯥꯛꯀꯤ,ꯂꯩ,ꯂꯩ
ꯊꯕꯛꯇꯥ,ꯊ,ꯊ
ꯄꯨꯟꯁꯤꯕꯨ,ꯄꯨꯟ,ꯄꯨꯟ
ꯄꯥꯡꯂꯛꯈꯤ,ꯄꯥꯡ,ꯄꯥꯡ
ꯈꯪꯅꯔꯛꯈꯤ,ꯈꯪ,ꯈꯪ
ꯂꯧꯈꯤ,ꯂꯧ,ꯂꯧ
ꯊꯋꯥꯢ,ꯊ,ꯊ
ꯌꯥꯎꯅꯥ,ꯌꯥꯎ,ꯌꯥꯎ
ꯆꯪꯁꯤꯜꯂꯛꯈꯤ,ꯆꯪ,ꯆꯪ
ꯀꯌꯥꯗꯥ,ꯌꯥ,ꯀ
ꯁꯔꯨꯛ,ꯁ,ꯁ
ꯌꯥꯗꯨꯅꯥ,ꯌꯥ,ꯌꯥ
ꯃꯃꯤꯡ,ꯃꯤꯡ,ꯃꯤꯡ
ꯆꯠꯂꯛꯈꯤ,ꯆꯠ,ꯆꯠ
ꯂꯨꯄꯥ,ꯂꯨ,ꯂꯨ
ꯂꯧꯗꯨꯅꯥ,ꯂꯧ,ꯂꯧ
ꯀꯌꯥ,ꯌꯥ,ꯀ
ꯆꯤꯡ,ꯌꯥ,ꯆꯤꯡ
ꯇꯝ,ꯌꯥ,ꯇꯝ
ꯇꯧꯈꯤ,ꯇꯧ,ꯇꯧ
ꯃꯍꯥꯛ,ꯍꯥꯛ,ꯍꯥꯛ
ꯔꯤꯁꯤ,ꯔꯤ,ꯔꯤ
ꯇꯔꯥꯅꯤꯊꯣꯢꯗꯥ,ꯇ,ꯇ
ꯌꯨꯝꯗꯥ,ꯌꯨꯝ,ꯌꯨꯝ
ꯄꯣꯛꯈꯤ,ꯄꯣꯛ,ꯄꯣꯛ
ꯃꯃꯥꯒꯤ,ꯃꯥ,ꯃꯥ
ꯁꯥꯔꯗꯥ,ꯁꯥꯔ,ꯁꯥ
ꯃꯄꯥꯒꯤ,ꯄꯥ,ꯄꯥ
ꯃꯄꯥ,ꯄꯥ,ꯄꯥ
ꯑꯣꯏꯕꯗꯥ,ꯑꯣꯏ,ꯑꯣꯏ
ꯅꯠꯇꯅꯥ,ꯅꯠ,ꯅꯠ
ꯑꯣꯏꯕꯒꯨꯝ,ꯑꯣꯏ,ꯑꯣꯏ
ꯁꯦꯜꯊꯨꯝ,ꯁꯦꯜ,ꯁꯦꯜ
ꯋꯥꯔꯦꯞꯄꯨ,ꯋꯥ,ꯋꯥ
ꯇꯥꯎꯍꯜꯂꯤ,ꯇꯥꯎ,ꯇꯥꯎ
ꯃꯁꯨꯝꯅꯥ,ꯁꯨꯝ,ꯁꯨꯝ
ꯄꯨꯝꯅꯥ,ꯄꯨꯝ,ꯄꯨꯝ
ꯇꯣꯏꯅꯥ,ꯇꯣꯏ,ꯇꯣꯏ
ꯃꯁꯦꯜꯅꯥ,ꯁꯦꯜ,ꯁꯦꯜ
ꯃꯆꯥꯁꯥ,ꯆꯥ,ꯆꯥ
ꯃꯥꯔꯥꯏ,ꯃꯥ,ꯃꯥꯔꯥꯏ
ꯇꯧꯔꯕ,ꯇꯧ,ꯇꯧ
ꯃꯣꯏꯒꯤ,ꯃꯣꯏ,ꯃꯣꯏ
ꯄꯥꯡꯗꯦ,ꯄꯥꯡ,ꯄꯥꯡ
ꯁꯦꯜꯊꯨꯝꯒꯤ,ꯁꯦꯜ,ꯁꯦꯜ
ꯇꯦꯜꯂꯛꯄꯥ,ꯇꯦꯜ,ꯇꯦꯜ
ꯁꯥꯒꯠꯄꯥ,ꯁꯥ,ꯁꯥ
ꯁꯪꯂꯝꯕ,ꯁꯪ,ꯁꯪ
ꯇꯣꯉꯥꯟꯕꯥ,ꯇꯣ,ꯇꯣ
ꯃꯆꯥꯎ,ꯆꯥꯎ,ꯆꯥꯎ
ꯆꯥꯎꯅꯥ,ꯆꯥꯎ,ꯆꯥꯎ
ꯄꯣꯛꯂꯝꯃꯤ,ꯄꯣꯛ,ꯄꯣꯛ
ꯁꯥꯟꯕ,ꯁꯥꯟ,ꯁꯥꯟ
ꯂꯥꯏꯔꯤꯛꯁꯤꯡꯒꯤ,ꯂꯥꯏ,ꯂꯥꯏ
ꯃꯆꯥ,ꯆꯥ,ꯆꯥ
ꯃꯆꯥꯒꯤ,ꯆꯥ,ꯆꯥ
ꯂꯤꯔꯕ,ꯂꯤ,ꯂꯤ
ꯃꯆꯥꯊꯣꯢꯒꯤ,ꯆꯥ,ꯆꯥ
ꯂꯧꯃꯤ,ꯂꯧ,ꯂꯧ
ꯁꯣꯏꯅꯥ,ꯁꯣꯏ,ꯁꯣꯏ
ꯀꯣꯏꯔꯝꯃꯤ,ꯀꯣꯏ,ꯀꯣꯏ
ꯂꯨꯠ,ꯂꯨꯠ,ꯂꯨꯠ
ꯃꯨꯔꯥꯒ,ꯃꯨ,ꯃꯨ
ꯃꯥꯔꯒ,ꯃꯥꯔ,ꯃꯥ
ꯇꯦꯜꯂꯛꯄꯒꯤ,ꯇꯦꯜ,ꯇꯦꯜ
ꯇꯦꯛꯂꯛꯄꯒꯤ,ꯇꯦꯛ,ꯇꯦꯛ
ꯂꯥꯝꯁꯥꯒꯤ,ꯂꯥꯝ,ꯂꯥꯝ
ꯄꯥꯗꯕ,ꯄꯥ,ꯄꯥ
ꯃꯔꯨꯝꯗꯥ,ꯔꯨꯝ,ꯔꯨꯝ
ꯀꯪꯂꯥꯒꯤ,ꯀꯪ,ꯀꯪ
ꯃꯆꯟ,ꯆꯟ,ꯆꯟ
ꯄꯥꯛꯄꯥ,ꯄꯥꯛ,ꯄꯥꯛ
ꯃꯦꯔꯥꯒꯤ,ꯃꯦ,ꯃꯦ
ꯃꯒꯤ,ꯃ,ꯒꯤ
ꯋꯥꯟꯗꯕ,ꯋꯥꯟ,ꯋꯥꯟ
ꯃꯥꯁꯤ,ꯃꯥ,ꯃꯥ
ꯃꯥꯇꯩꯃꯒꯤ,ꯃꯥ,ꯃꯥ
ꯂꯥꯝꯕ,ꯂꯥꯝ,ꯂꯥꯝ
ꯂꯦꯇ꯭ꯔ,ꯂꯦ,ꯂꯦ
ꯃꯁꯤꯔꯥ,ꯁꯤ,ꯁꯤ
ꯄꯣꯛꯄꯤ,ꯄꯣꯛ,ꯄꯣꯛ
ꯅꯞ,ꯅꯞ,ꯅꯞ
ꯃꯥꯔꯤꯗꯥ,ꯃꯥ,ꯃꯥ
ꯇꯧꯏ,ꯇꯧ,ꯇꯧꯏ
ꯂꯤꯠꯄ,ꯂꯤꯠ,ꯂꯤꯠ
ꯃꯁꯨꯝ,ꯁꯨꯝ,ꯁꯨꯝ
ꯇꯦꯜꯂꯣ,ꯇꯦꯜ,ꯇꯦꯜ
ꯃꯆꯩ,ꯆꯩ,ꯆꯩ
ꯃꯟꯕꯥ,ꯃꯟ,ꯃꯟ
ꯁꯨꯝꯅꯥ,ꯁꯨꯝ,ꯁꯨꯝ
ꯃꯂꯥꯒꯤ,ꯂꯥ,ꯂꯥ
ꯄꯥꯠ,ꯄꯥꯠ,ꯄꯥꯠ
ꯃꯆꯒꯤ,ꯆ,ꯆ
ꯃꯁꯥꯅ,ꯁꯥ,ꯁꯥ
ꯃꯩꯔꯥ,ꯃꯩ,ꯃꯩ
ꯏꯆꯦ,ꯆꯦ,ꯆꯦ
ꯃꯥꯂꯦꯝꯒꯤ,ꯃꯥ,ꯃꯥ
ꯃꯤꯔꯦꯝ,ꯃꯤ,ꯃꯤ
ꯂꯩꯕꯥꯛꯇꯥ,ꯂꯩ,ꯂꯩ
ꯀꯌꯥꯒꯤ,ꯀ,ꯀ
ꯃꯆꯤꯟ,ꯆꯤꯟ,ꯆꯤꯟ
ꯃꯅꯥꯎ,ꯅꯥꯎ,ꯅꯥꯎ
ꯑꯌꯥꯝꯕꯥ,ꯌꯥꯝ,ꯌꯥꯝ
ꯅꯨꯄꯥꯒꯤ,ꯅꯨ,ꯅꯨ
ꯃꯔꯝꯗꯥ,ꯔꯝ,ꯔꯝ
ꯊꯣꯏꯗꯣꯛꯄꯥ,ꯊꯣꯏ,ꯊꯣꯏ
ꯄꯥꯡꯈꯤꯕꯥ,ꯄꯥꯡ,ꯄꯥꯡ
ꯂꯩꯈꯤ,ꯂꯩ,ꯂꯩ
ꯃꯔꯥꯡ,ꯔꯥꯡ,ꯔꯥꯡ
ꯏꯆꯜꯁꯤꯡꯁꯨ,ꯆꯜ,ꯆꯜ
ꯃꯈꯣꯏꯅꯥ,ꯈꯣꯏ,ꯈꯣꯏ
ꯈꯨꯅꯥꯢꯒꯤ,ꯈꯨ,ꯈꯨ
ꯄꯥꯡꯕꯥ,ꯄꯥꯡ,ꯄꯥꯡ
ꯂꯩꯔꯛꯏ,ꯂꯩ,ꯂꯩ
ꯑꯗꯨꯅꯥ,ꯗꯨ,ꯗꯨ
ꯃꯩꯔꯥꯒꯤ,ꯃꯩ,ꯃꯩ
ꯆꯥꯎꯕꯒꯦ,ꯆꯥꯎ,ꯆꯥꯎ
ꯍꯥꯢꯕꯗꯨ,ꯍꯥꯢ,ꯍꯥꯢ
ꯍꯣꯠꯅꯕꯥ,ꯍꯣꯠ,ꯍꯣꯠ
ꯃꯔꯨ,ꯔꯨ,ꯔꯨ
ꯑꯣꯏ,ꯑꯣꯏ,ꯑꯣꯏ
ꯄꯜꯂꯕꯗꯥ,ꯄꯜ,ꯄꯜ
ꯀꯥꯅꯕꯗꯥ,ꯀꯥ,ꯀꯥ
ꯄꯥꯝꯕꯤꯁꯤꯡꯅꯥ,ꯄꯥꯝ,ꯄꯥꯝ
ꯉꯥꯏ,ꯉꯥꯏ,ꯉꯥꯏ
ꯀꯥꯟꯅꯕ,ꯀꯥꯟ,ꯀꯥꯟ
ꯂꯣꯏ,ꯂꯣꯏ,ꯂꯣꯏ
ꯂꯧꯀꯣꯜ,ꯂꯧ,ꯂꯧ
ꯂꯧꯊꯣꯛꯄꯥ,ꯂꯧ,ꯂꯧ
ꯏꯊꯣꯛꯄꯥ,ꯊꯣꯛ,ꯊꯣꯛ
ꯅꯨꯡ,ꯅꯨꯡ,ꯅꯨꯡ
ꯂꯣꯟ,ꯂꯣꯟ,ꯂꯣꯟ
ꯀꯆꯤꯟ,ꯀ,ꯀ
ꯌꯥꯝꯂꯕ,ꯌꯥꯝ,ꯌꯥꯝ
ꯀꯥꯟꯊꯣꯛꯇꯅ,ꯀꯥꯟ,ꯀꯥꯟ
ꯇꯧꯔꯤꯕꯥ,ꯇꯧ,ꯇꯧ
ꯑꯩꯒꯤ,ꯑꯩ,ꯑꯩ
ꯇꯣꯉꯥꯟꯕꯅꯤ,ꯇꯣ,ꯇꯣ
ꯑꯩꯅꯥ,ꯑꯩ,ꯑꯩ
ꯊꯦꯡꯅꯔꯛꯄꯗ,ꯊꯦꯡ,ꯊꯦꯡ
ꯂꯧꯁꯤꯡꯅꯕ,ꯂꯧ,ꯂꯧ
ꯀꯩꯗꯧꯉꯩꯗꯁꯨ,ꯀꯩ,ꯀꯩ
ꯑꯋꯥꯕ,ꯋꯥ,ꯋꯥ
ꯑꯃꯥꯅꯤ,ꯃꯥ,ꯃꯥ
ꯈꯟꯗꯦ,ꯈꯟ,ꯈꯟ
ꯇꯦꯡꯕꯥ,ꯇꯦꯡ,ꯇꯦꯡ
ꯏꯔꯣꯠ,ꯔꯣꯠ,ꯔꯣꯠ
ꯂꯧꯄꯨꯝ,ꯂꯧ,ꯂꯧ
ꯇꯧꯔꯛꯄꯗꯥ,ꯇꯧ,ꯇꯧ
ꯀꯥꯟꯊꯣꯛꯇꯕ,ꯀꯥꯟ,ꯀꯥꯟ
ꯌꯥꯝꯅꯕ,ꯌꯥꯝ,ꯌꯥꯝ
ꯅꯦꯝꯕꯅꯥ,ꯅꯦꯝ,ꯅꯦꯝ
ꯈꯣꯡꯅꯦ,ꯈꯣꯡ,ꯈꯣꯡ
ꯌꯦꯡꯕ,ꯌꯦꯡ,ꯌꯦꯡ
ꯌꯥꯝ,ꯌꯥꯝ,ꯌꯥꯝ
ꯈꯪꯕ,ꯈꯪ,ꯈꯪ
ꯌꯦꯟꯕꯁꯤꯡ,ꯌꯦꯟ,ꯌꯦꯟ
ꯂꯧꯕ,ꯂꯧ,ꯂꯧ
ꯉꯝꯗꯦ,ꯉꯝ,ꯉꯝ
ꯄꯨꯝꯅꯃꯛꯁꯤꯡꯁꯨ,ꯄꯨꯝ,ꯄꯨꯝ
ꯂꯧꯊꯣꯛ,ꯂꯧ,ꯂꯧ
ꯂꯨꯝꯅꯕ,ꯂꯨꯝ,ꯂꯨꯝ
ꯁꯦꯡꯂꯕ,ꯁꯦꯡ,ꯁꯦꯡ
ꯊꯧꯅꯥꯁꯤꯡꯗ,ꯊꯧ,ꯊꯧ
ꯑꯃꯥꯗꯒꯤ,ꯃꯥ,ꯃꯥ
ꯂꯧꯁꯤꯡꯗꯤ,ꯂꯧ,ꯂꯧ
ꯂꯧꯅꯤꯡꯕ,ꯂꯧ,ꯂꯧ
ꯇꯧꯕꯁꯤꯡꯒꯤ,ꯇꯧ,ꯇꯧ
ꯅꯥꯠꯇꯅꯤ,ꯅꯥꯠ,ꯅꯥꯠ
ꯀꯔꯤ,ꯀ,ꯀ
ꯉꯥꯏꯕ,ꯉꯥꯏ,ꯉꯥꯏ
ꯂꯧꯅꯤꯡꯕꯥ,ꯂꯧ,ꯂꯧ
ꯀꯥꯡꯖꯩ,ꯀꯥꯡ,ꯀꯥꯡ
ꯀꯥꯡꯖꯩꯒꯤ,ꯀꯥꯡ,ꯀꯥꯡ
ꯑꯗꯨꯒꯨꯝꯕ,ꯗꯨ,ꯗꯨ
ꯂꯧꯕꯧꯒꯤ,ꯂꯧ,ꯂꯧꯕꯧ
ꯂꯩꯔꯛꯄꯥ,ꯂꯩ,ꯂꯩ
ꯂꯧꯊꯣꯛꯄꯥ,ꯂꯧ,ꯂꯧ
ꯂꯧꯄꯨꯝꯅ,ꯂꯧ,ꯂꯧ
ꯑꯄꯥꯝꯕꯥ,ꯄꯥꯝ,ꯄꯥꯝ
ꯄꯨꯝꯅꯃꯛꯇꯥ,ꯄꯨꯝ,ꯄꯨꯝ
ꯀꯥꯎꯊꯣꯛꯂꯣꯏꯗꯕꯥ,ꯀꯥꯎ,ꯀꯥꯎ
ꯃꯤꯇꯩꯒꯤ,ꯃꯤ,ꯃꯤ
ꯄꯨꯋꯥꯔꯤꯗꯥ,ꯄꯨ,ꯄꯨꯋꯥ
ꯇꯦꯡꯕꯥꯡꯅꯕꯥ,ꯇꯦꯡ,ꯇꯦꯡꯕꯥꯡ
ꯑꯃꯒꯤ,ꯃ,ꯃ
ꯃꯁꯥꯕꯨ,ꯁꯥ,ꯁꯥ
ꯀꯠꯊꯣꯛꯂꯤ,ꯀꯠ,ꯀꯠ
ꯃꯁꯤꯗꯒꯤ,ꯁꯤ,ꯁꯤ
ꯍꯧꯔꯒꯥ,ꯍꯧ,ꯍꯧ
ꯋꯥꯔꯤꯗꯥ,ꯋꯥ,ꯋꯥ
ꯊꯦꯡꯅꯕꯥ,ꯊꯦꯡ,ꯊꯦꯡ
ꯑꯁꯤ,ꯑ,ꯁꯤ
ꯑꯔꯣꯏꯕꯥ,ꯔꯣꯏ,ꯔꯣꯏ
ꯇꯥꯡꯀꯛ,ꯇꯥꯡ,ꯇꯥꯡ
ꯂꯥꯛꯀꯅꯤ,ꯂꯥꯛ,ꯂꯥꯛ
ꯋꯥꯐꯝ,ꯋꯥ,ꯋꯥ
ꯈ꯭ꯏꯗꯒꯤ,ꯈ꯭ꯏ,ꯈ꯭ꯏ
ꯄꯣꯠꯂꯝ,ꯄꯣꯠ,ꯄꯣꯠ
ꯈꯣꯡ,ꯈꯣꯡ,ꯈꯣꯡ
ꯀꯔꯝꯅꯥ,ꯀ,ꯀ
ꯅꯤꯡꯊꯤꯕꯥ,ꯅꯤꯡ,ꯅꯤꯡ
ꯃꯋꯣꯡꯗꯥ,ꯋꯣꯡ,ꯋꯣꯡ
ꯁꯦꯝꯕꯥ,ꯁꯦꯝ,ꯁꯦꯝ
ꯄꯨꯡꯒꯤ,ꯄꯨꯡ,ꯄꯨꯡ
ꯋꯥꯔꯤꯄꯨꯡꯒꯤ,ꯋꯥ,ꯋꯥ
ꯃꯔꯨꯑꯣꯢꯕꯥ,ꯔꯨ,ꯔꯨ
ꯁꯦꯝꯒꯠ,ꯁꯦꯝ,ꯁꯦꯝ
ꯁꯥꯒꯠꯄꯥ,ꯁꯥ,ꯁꯥ
ꯃꯋꯣꯡ,ꯋꯣꯡ,ꯋꯣꯡ
ꯀꯥꯡꯂꯨꯞꯀꯤ,ꯀꯥꯡ,ꯀꯥꯡ
ꯑꯁꯦꯡꯕꯥ,ꯁꯦꯡ,ꯁꯦꯡ
ꯃꯄꯣꯛ,ꯄꯣꯛ,ꯄꯣꯛ
ꯈꯣꯡꯊꯥꯡ,ꯈꯣꯡ,ꯈꯣꯡꯊꯥꯡ
ꯁꯔꯨꯛꯁꯤꯡꯗꯤ,ꯁ,ꯁ
ꯃꯀꯣꯛ,ꯀꯣꯛ,ꯀꯣꯛ
ꯃꯌꯥꯏ,ꯌꯥꯏ,ꯌꯥꯏ
ꯃꯄꯥꯟꯊꯣꯡ,ꯄꯥꯟ,ꯄꯥꯟ
ꯄꯨꯡ,ꯄꯨꯡ,ꯄꯨꯡ
ꯁꯦꯝꯒꯠꯄꯥ,ꯁꯦꯝ,ꯁꯦꯝ
ꯁꯤꯖꯤꯟꯅꯕꯥ,ꯁꯤ,ꯁꯤ
ꯂꯩꯇꯅꯥ,ꯂꯩ,ꯂꯩ
ꯆꯠꯅꯕꯤꯗꯥ,ꯆꯠ,ꯆꯠ
ꯆꯠꯅꯕꯤ,ꯆꯠ,ꯆꯠ
ꯍꯔꯥꯎ,ꯍ,ꯍꯔꯥꯎ
ꯀꯨꯝꯍꯩ,ꯀꯨꯝ,ꯀꯨꯝ
ꯊꯧꯔꯝꯁꯤꯡꯗꯥ,ꯊꯧ,ꯊꯧ
ꯆꯠꯂꯤ,ꯆꯠ,ꯆꯠ
ꯁꯥꯒꯤ,ꯁꯥ,ꯁꯥ
ꯑꯄꯨꯟꯕꯥ,ꯄꯨꯟ,ꯄꯨꯟ
ꯐꯥꯍꯜꯂꯤ,ꯐꯥ,ꯐꯥ
ꯂꯧꯔꯤ,ꯂꯧ,ꯂꯧ
ꯄꯥꯎꯇꯥꯛ,ꯄꯥꯎ,ꯄꯥꯎ
ꯁꯛꯊꯤꯕꯥꯒꯤ,ꯁꯛ,ꯁꯛ
ꯁꯥꯟꯅꯕꯥ,ꯁꯥꯟ,ꯁꯥꯟ
ꯃꯅꯥ,ꯅꯥ,ꯅꯥ
ꯁꯦꯝꯒꯠꯂꯕ,ꯁꯦꯝ,ꯁꯦꯝ
ꯄꯣꯠꯂꯝꯁꯤꯡꯁꯤ,ꯄꯣꯠ,ꯄꯣꯠ
ꯃꯌꯥꯝꯅꯥ,ꯌꯥꯝ,ꯌꯥꯝ
ꯄꯥꯝꯅꯩ,ꯄꯥꯝ,ꯄꯥꯝ
ꯑꯩꯈꯣꯢꯕꯨ,ꯑꯩ,ꯑꯩ
ꯄꯤꯒꯅꯤ,ꯄꯤ,ꯄꯤ
ꯃꯑꯣꯡ,ꯑꯣꯡ,ꯑꯣꯡ
ꯃꯇꯧꯗꯥ,ꯇꯧ,ꯇꯧ
